GKZ17;Gemeindename;Bez;GKZ16
30729;Ebergassing;Bruck an der Leitha;32401
30730;Fischamend;Bruck an der Leitha;32402
31949;Gablitz;St. Pölten (Land);32403
31235;Gerasdorf bei Wien;Korneuburg;32404
30731;Gramatneusiedl;Bruck an der Leitha;32405
30732;Himberg;Bruck an der Leitha;32406
30733;Klein-Neusiedl;Bruck an der Leitha;32407
32144;Klosterneuburg;Tulln ;32408
30734;Lanzendorf;Bruck an der Leitha;32409
30735;Leopoldsdorf;Bruck an der Leitha;32410
30736;Maria-Lanzendorf;Bruck an der Leitha;32411
31950;Mauerbach;St. Pölten (Land);32412
30737;Moosbrunn;Bruck an der Leitha;32413
31951;Pressbaum;St. Pölten (Land);32415
31952;Purkersdorf;St. Pölten (Land);32416
30738;Rauchenwarth;Bruck an der Leitha;32417
30739;Schwadorf;Bruck an der Leitha;32418
30740;Schwechat;Bruck an der Leitha;32419
31953;Tullnerbach;St. Pölten (Land);32421
31954;Wolfsgraben;St. Pölten (Land);32423
30741;Zwölfaxing;Bruck an der Leitha;32424
